"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","문화사업자구분명","총층수","주변환경명","제작취급품목내용","시설면적","지상층수","지하층수","건물용도명","통로너비","조명시설조도","노래방실수","청소년실수","비상계단여부","비상구여부","자동환기여부","청소년실여부","특수조명여부","방음시설여부","비디오재생기명","조명시설유무","음향시설여부","편의시설여부","소방시설여부","총게임기수","기존게임업외업종명","제공게임물명","공연장형태구분명","품목명","최초등록시점","지역구분명",
"13","게임물제작업","03_05_02_P","4181000","CDFF2241082003000004","2003-08-19","","01","영업/정상","13","영업중","","","","","256-8313","","","강원특별자치도 춘천시 퇴계동 ***-*","강원특별자치도 춘천시 춘주로 *** (퇴계동)","24452","주)스핀개발","2011-12-23 10:24:01","I","2023-06-13 00:00:00","","263713.174233589","484187.309012648","게임물제작업","유통관련업","0","","게임","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"14","게임물제작업","03_05_02_P","4181000","CDFF2241082004000001","2004-07-30","","01","영업/정상","13","영업중","","","","","719-7199","","","강원특별자치도 춘천시 후평동 ***-**","강원특별자치도 춘천시 삭주로***번길 ** (후평동)","24232","(주)공지닷컴","2011-12-23 10:25:52","I","2023-06-13 00:00:00","","265606.315410307","487746.76318291","게임물제작업","유통관련업","0","","게임","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"15","게임물제작업","03_05_02_P","4181000","CDFF2241082005000001","2005-04-19","","01","영업/정상","13","영업중","","","","","241-2272","","","강원특별자치도 춘천시 후평동 ***-**","강원특별자치도 춘천시 삭주로***번길 ** (후평동)","24232","진명(주)","2011-12-23 10:26:49","I","2023-06-13 00:00:00","","265704.693509103","488076.515789885","게임물제작업","유통관련업","0","","게임","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"16","게임물제작업","03_05_02_P","4181000","CDFF2241082007000001","2007-09-14","","01","영업/정상","13","영업중","","","","","911-9992","","","강원특별자치도 춘천시 퇴계동 **** (구)**블럭 *롯트","강원특별자치도 춘천시 퇴계로 ** (퇴계동)","24369","프리넷","2013-12-30 17:37:38","I","2023-06-13 00:00:00","","263961.619325035","484818.818422583","게임물제작업","유통관련업","0","","올라인게임","0","4","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"17","게임물제작업","03_05_02_P","4181000","CDFF2241082007000002","2007-12-31","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 춘천시 효자동 ***-* 춘천축협효자지점","강원특별자치도 춘천시 효자로 ***, 춘천축협효자지점 *층 (효자동)","24329","한테크 주식회사","2022-06-27 15:53:54","I","2023-06-13 00:00:00","","264563.94245221","486040.71272591","게임물제작업","유통관련업","0","","온라인게임물","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"18","게임물제작업","03_05_02_P","4181000","CDFF2241082008000001","2008-02-18","","01","영업/정상","13","영업중","","","","","258-6730","","","강원특별자치도 춘천시 후평동 ***-** 하이테크벤처타운 애니동 ***호","강원특별자치도 춘천시 소양강로 ** (후평동)","24232","(주)엔빌소프트","2013-12-30 15:05:24","I","2023-06-13 00:00:00","","265331.3469315","487999.802568208","게임물제작업","유통관련업","0","","온라인게임물","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"19","게임물제작업","03_05_02_P","4181000","CDFF2241082011000002","2011-12-01","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 춘천시 서면 현암리 ***-*","강원특별자치도 춘천시 서면 박사로 ***","24461","(주)펀 오락실","2011-12-29 17:44:00","I","2023-06-13 00:00:00","","","","게임물제작업","유통관련업","4","기타","모바일게임,
Application(앱)","66.3","0","0","기타","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"20","게임물제작업","03_05_02_P","4181000","CDFF2241082012000001","2012-07-04","","01","영업/정상","13","영업중","","","","","033-254-8416","","","강원특별자치도 춘천시 후평동 ***-*","강원특별자치도 춘천시 후석로***번길 **-* (후평동)","24254","팔도전자","2012-07-04 16:10:04","I","2023-06-13 00:00:00","","265335.474575428","487061.268789654","게임물제작업","유통관련업","0","기타","아케이트","40","0","0","근린생활시설","0","0","0","0","","","","","","","","","","","","0","","","","","","일반주거지역",
"21","게임물제작업","03_05_02_P","4181000","CDFF2241082019000001","2019-02-27","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 춘천시 소양로*가 ***-* B동","강원특별자치도 춘천시 중앙로 ***, B동 (소양로*가)","24276","주식회사 피드백루프","2019-02-27 15:13:06","I","2023-06-13 00:00:00","","263240.403660836","486181.337855764","게임물제작업","유통관련업","0","","게임소프트웨어개발 및 공급","315.19","2","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"22","게임물제작업","03_05_02_P","4181000","CDFF2241082021000001","2021-03-24","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 춘천시 서면 금산리 ****","강원특별자치도 춘천시 서면 박사로 ***, 강원창작개발센터 ***호","24461","타이니젬","2025-08-26 11:07:07","U","2025-08-28 02:40:00","","260819.739664112","488267.312140011","게임물제작업","유통관련업","0","","모바일게임 소프트웨어, PC게임 소프트웨어 및 기타 게임 소프트웨어","253.71","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"23","게임물제작업","03_05_02_P","4181000","CDFF2241082024000001","2024-06-17","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 춘천시 온의동 ***-**","강원특별자치도 춘천시 충혼길**번길 **, 드림타워 *층 ***호 (온의동)","24437","노타이틀","2024-06-17 08:54:03","I","2024-06-19 00:14:09","","263185.40575042","484481.408200585","게임물제작업","유통관련업","0","","게임물","9","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"24","게임물제작업","03_05_02_P","4181000","CDFF2241082025000001","2025-08-11","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 춘천시 석사동 ***-*","강원특별자치도 춘천시 안마산로 ***, *층 (석사동)","24417","블루벌룬","2025-08-11 14:06:52","I","2025-08-13 00:20:02","","265652.214734401","483027.881930201","게임물제작업","유통관련업","0","","모바일게임","154.06","3","0","근린생활시설","0","0","0","0","","","","","","","","","","","","0","","","","","","자연녹지지역",
"25","게임물제작업","03_05_02_P","4191000","CDFF2241082017000004","2017-12-01","","03","폐업","03","폐업","2019-08-23","","","","","","","강원특별자치도 원주시 학성동 ****-* *층","강원특별자치도 원주시 남산로 ***, *층 (학성동)","26416","올 다이스","2019-08-23 16:48:47","I","2023-06-13 00:00:00","","283371.648487568","428361.403477524","게임물제작업","유통관련업","5","","PC게임","137.9","4","1","근린생활시설","0","0","0","0","","","","","","","","","","","","0","","","","","","일반주거지역",
"26","게임물제작업","03_05_02_P","4191000","CDFF2241082024000001","2024-02-07","","03","폐업","03","폐업","2024-05-22","","","","","","","강원특별자치도 원주시 단구동 **** 두산아파트","강원특별자치도 원주시 남원로 ***, ***동 ****호 (단구동, 두산아파트)","26485","인피션즈 (INFITIONS)","2024-05-22 15:34:42","U","2024-05-24 02:40:00","","283940.12195007","425299.379019454","게임물제작업","유통관련업","0","","온라인 게임","134.97","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"27","게임물제작업","03_05_02_P","4191000","CDFF2241082022000001","2022-02-21","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 원주시 단구동 ****-*","강원특별자치도 원주시 천매봉길 **-**, *층 (단구동)","26483","2S Soft","2022-02-21 17:14:13","I","2023-06-13 00:00:00","","283538.026663461","425006.250787174","게임물제작업","유통관련업","0","","일반게임류","183.22","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"28","게임물제작업","03_05_02_P","4191000","CDFF2241082022000002","2022-03-16","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 원주시 우산동 ***-* 이룸하우스","강원특별자치도 원주시 우산초교길 **-**, 이룸하우스 ***호 (우산동)","26342","파워닉스","2022-03-16 09:15:59","I","2023-06-13 00:00:00","","283046.965998633","429995.266371359","게임물제작업","유통관련업","0","","게임제작","92.9","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"29","게임물제작업","03_05_02_P","4191000","CDFF2241082010000001","2010-01-06","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 원주시 단계동 *** 코오롱아파트 ***동 ***호","강원특별자치도 원주시 로아노크로 **, ***동 ***호 (단계동, 코오롱아파트)","26382","동방절주몽","2014-12-03 14:19:48","I","2023-06-13 00:00:00","","282191.804623974","427186.268933428","게임물제작업","유통관련업","0","아파트지역","모바일게임","84.59","0","0","아파트","0","0","0","0","","","","","","","","","","","","0","","","","","","주거지역",
"30","게임물제작업","03_05_02_P","4191000","CDFF2241082010000002","2009-06-30","","01","영업/정상","13","영업중","","","","","1544-8423","","","강원특별자치도 원주시 소초면 장양리 ***-**","강원특별자치도 원주시 소초면 신양선녀길 ***-**","26308","(주)킹스필드","2021-01-31 15:32:59","I","2023-06-13 00:00:00","","286385.295056346","434821.801616967","게임물제작업","유통관련업","0","","온라인바둑게임","79.14","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"31","게임물제작업","03_05_02_P","4191000","CDFF2241082010000003","2010-07-21","","01","영업/정상","13","영업중","","","","","762-9631","","","강원특별자치도 원주시 관설동 ****-*","강원특별자치도 원주시 관설안길 **-** (관설동)","26472","TTS(토탈시스템)","2023-01-03 15:36:28","I","2023-06-13 00:00:00","","285182.67305261","424350.615680654","게임물제작업","유통관련업","0","","아케이드게임","60.5","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"32","게임물제작업","03_05_02_P","4191000","CDFF2241082016000001","2016-03-14","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 원주시 단구동 ****-*","강원특별자치도 원주시 오성마을길 *, *층 ***호 (단구동)","26400","아코전자","2021-12-28 18:18:04","I","2023-06-13 00:00:00","","284449.156454058","424476.24227334","게임물제작업","유통관련업","4","기타","비디오게임기제조, 전자오락기","72.45","3","1","근린생활시설","0","0","0","0","","","","","","","","","","","","0","","","","","","일반주거지역",
"33","게임물제작업","03_05_02_P","4191000","CDFF2241082016000002","2016-10-25","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 원주시 단구동 ***-**","강원특별자치도 원주시 단관공원길 **-*, *층 ***호 (단구동)","26400","제이소프트","2016-10-25 09:24:12","I","2023-06-13 00:00:00","","284710.932093977","424231.442620199","게임물제작업","유통관련업","4","기타","게임물","39.6","4","0","단독주택","0","0","0","0","","","","","","","","","","","","0","","","","","","일반주거지역",
"34","게임물제작업","03_05_02_P","4191000","CDFF2241082017000001","2017-02-06","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 원주시 명륜동 ***-*","강원특별자치도 원주시 남산로 **-*, 지하*층 (명륜동)","26438","퍼스트라인","2017-02-06 16:08:15","I","2023-06-13 00:00:00","","283539.642566893","426964.274280201","게임물제작업","유통관련업","5","기타","게임물","129.86","4","1","근린생활시설","0","0","0","0","","","","","","","","","","","","0","","","","","","주거지역",
"35","게임물제작업","03_05_02_P","4191000","CDFF2241082017000002","2017-08-25","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 원주시 개운동 ***-*","강원특별자치도 원주시 도말리길 ** (개운동)","26443","윤성배(Yun Seongbae)","2018-08-09 09:23:16","I","2023-06-13 00:00:00","","284756.173657084","427236.717665251","게임물제작업","유통관련업","3","기타","모바일게임 애플리케이션, PC게임","188.4","2","1","근린생활시설","0","0","0","0","","","","","","","","","","","","0","","","","","","일반주거지역",
"36","게임물제작업","03_05_02_P","4191000","CDFF2241082017000003","2017-09-20","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 원주시 단계동 ***-**","강원특별자치도 원주시 이화*길 **-*, *층 (단계동)","26474","이룸소프트","2017-09-20 13:52:56","I","2023-06-13 00:00:00","","282555.63720335","426704.310434947","게임물제작업","유통관련업","4","기타","게임물","75.84","3","1","근린생활시설","0","0","0","0","","","","","","","","","","","","0","","","","","","일반주거지역",
"37","게임물제작업","03_05_02_P","4191000","CDFF2241082017000005","2017-12-15","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 원주시 무실동 **** 원주무실*단지엘에이치아파트 ***동 ****호","강원특별자치도 원주시 무실로 ***, ***동 *층 ****호 (무실동, 원주무실*단지엘에이치아파트)","26477","소프트 샌즈(SOFT SANDS)","2017-12-15 16:35:09","I","2023-06-13 00:00:00","","282491.791788334","426385.549427199","게임물제작업","유통관련업","0","","모바일 소프트웨어","24.5","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"38","게임물제작업","03_05_02_P","4191000","CDFF2241082020000001","2020-03-09","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 원주시 일산동 ***-** *층","강원특별자치도 원주시 동진골*길 **-*, *층 (일산동)","26417","일루비전","2020-03-09 09:25:56","I","2023-06-13 00:00:00","","283510.484102553","428049.325812689","게임물제작업","유통관련업","0","","어플리케이션","67.62","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"39","게임물제작업","03_05_02_P","4191000","CDFF2241082021000001","2021-01-14","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 원주시 단계동 ***-*","강원특별자치도 원주시 이화*길 **, *층 (단계동)","26474","소프트 센즈","2021-01-14 11:06:47","I","2023-06-13 00:00:00","","282646.124280602","427162.822995565","게임물제작업","유통관련업","0","","소프트웨어","36","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"40","게임물제작업","03_05_02_P","4191000","CDFF2241082024000002","2024-08-12","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 원주시 반곡동 **** 원주반곡아이파크","강원특별자치도 원주시 늘품로 ***, ***동 ***호 (반곡동, 원주반곡아이파크)","26458","졸리 크래프트","2024-08-12 10:48:21","I","2024-08-14 00:13:54","","285366.193270224","426297.745351932","게임물제작업","유통관련업","0","","게임(모바일)","84","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"41","게임물제작업","03_05_02_P","4201000","CDFF2241082013000002","2013-06-25","","03","폐업","03","폐업","2014-06-24","","","","","","","강원특별자치도 강릉시 노암동 ***-*","강원특별자치도 강릉시 율곡로 ****, ***동 ****호 (노암동, 노암현대아파트)","25589","STUDIO REM","2016-01-18 19:52:22","I","2023-06-13 00:00:00","","367839.117000396","473737.459799518","게임물제작업","유통관련업","0","","게임제작","84.94","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"42","게임물제작업","03_05_02_P","4201000","CDFF2241082023000001","2023-10-20","","03","폐업","03","폐업","2025-01-13","","","","","","","강원특별자치도 강릉시 포남동 ****-*** 강릉과학산업진흥원 ***호","강원특별자치도 강릉시 경강로****번길 *, 강릉과학산업진흥원 ***호 (포남동)","25570","이웃사람","2025-01-13 13:21:46","U","2025-01-15 02:40:00","","368705.113784819","475673.124066199","게임물제작업","유통관련업","0","","PC/어플리케이션 게임","41.2","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"43","게임물제작업","03_05_02_P","4201000","CDFF2241082011000001","2011-11-15","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 강릉시 성산면 구산리 *** *층","강원특별자치도 강릉시 성산면 구산길 **","25450","아바타 소프트웨어","2011-11-15 11:42:24","I","2023-06-13 00:00:00","","361383.378987505","469715.814082964","게임물제작업","유통관련업","0","","소프트웨어 개발","114.56","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"44","게임물제작업","03_05_02_P","4201000","CDFF2241082013000001","2013-06-25","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 강릉시 노암동 ***-*","강원특별자치도 강릉시 율곡로 ****, ***동 ****호 (노암동, 노암현대아파트)","25589","핑거소프트","2013-06-25 20:52:52","I","2023-06-13 00:00:00","","367839.117000396","473737.459799518","게임물제작업","유통관련업","0","","게임제작","84.94","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"45","게임물제작업","03_05_02_P","4201000","CDFF2241082015000001","2015-10-27","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 강릉시 성남동 ***-*","강원특별자치도 강릉시 중앙시장*길 * (성남동)","25544","흥 소프트","2015-10-27 16:10:39","I","2023-06-13 00:00:00","","367025.044466832","473875.292591077","게임물제작업","유통관련업","0","","게임물","159.07","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"46","게임물제작업","03_05_02_P","4201000","CDFF2241082019000001","2019-03-22","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 강릉시 연곡면 영진리 ***-** 동방이스트빌","강원특별자치도 강릉시 연곡면 연주로 ***, 동방이스트빌 ***동 ***호","25429","초목","2019-03-27 14:08:39","I","2023-06-13 00:00:00","","361622.71641138","486923.542176055","게임물제작업","유통관련업","0","","게임물","91.66","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"47","게임물제작업","03_05_02_P","4201000","CDFF2241082020000001","2020-04-14","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 강릉시 견소동 *** 송정해변신도브래뉴아파트","강원특별자치도 강릉시 경강로****번길 **, ***동 ****호 (견소동, 송정해변신도브래뉴아파트)","25560","락사소프트 주식회사","2020-04-14 10:26:00","I","2023-06-13 00:00:00","","370826.716147497","476465.231049127","게임물제작업","유통관련업","0","","모바일게임","59.99","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"48","게임물제작업","03_05_02_P","4201000","CDFF2241082024000001","2024-05-21","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 강릉시 명주동 **-* *층 ***호","강원특별자치도 강릉시 경강로 ****, *층 ***호 (명주동)","25535","플렌티게임즈(Plenti Games)","2024-05-21 09:40:08","I","2024-05-23 00:14:32","","366559.223990372","473627.061206311","게임물제작업","유통관련업","0","","모바일 게임 소프트웨어","16.5","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"49","게임물제작업","03_05_02_P","4201000","CDFF2241082025000003","2025-08-20","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 강릉시 노암동 *-*","강원특별자치도 강릉시 남부로 *** (노암동)","25590","마브리스 게임즈","2025-08-20 19:50:17","I","2025-08-22 00:20:02","","368278.851706593","473252.035010099","게임물제작업","유통관련업","0","","게임 소프트웨어","36","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"50","게임물제작업","03_05_02_P","4201000","CDFF2241082025000002","2025-05-14","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 강릉시 주문진읍 주문리 ***-*","강원특별자치도 강릉시 주문진읍 항구로 **, *층","25410","픽셀랩스 주식회사","2025-05-14 09:24:51","I","2025-05-16 00:21:17","","360611.389081007","489443.611231322","게임물제작업","유통관련업","0","","게임","163.8","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"51","게임물제작업","03_05_02_P","4201000","CDFF2241082025000001","2024-12-30","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 강릉시 옥천동 *** *층 ***호","강원특별자치도 강릉시 경강로 ****, *층 ***호 (옥천동)","25552","여우늘","2025-07-02 08:29:02","U","2025-07-04 02:40:00","","367540.766623865","474662.18007794","게임물제작업","유통관련업","0","","온라인, 모바일, 기타 게임프로그램","3.3","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"52","게임물제작업","03_05_02_P","4221000","CDFF2241082010000001","2010-05-18","","03","폐업","03","폐업","2020-12-14","","","","580-8100","","","강원특별자치도 태백시 문곡동 **","강원특별자치도 태백시 태백로 **** (문곡동)","26044","(주)하이원엔터테인먼트","2020-12-16 14:14:29","I","2023-06-13 00:00:00","","377985.059683658","404182.306250503","게임물제작업","유통관련업","7","아파트지역","게임소프트웨어개발","492.38","6","1","사무실","0","0","0","0","","","","","","","","","","","","0","","","","","","일반주거지역",
"53","게임물제작업","03_05_02_P","4221000","CDFF2241082023000001","2023-08-21","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 태백시 혈동 **-**","강원특별자치도 태백시 태백산로 ****-** (혈동)","26042","협동조합 라이브","2023-08-21 18:20:11","I","2023-08-23 00:18:32","","371040.670972719","403770.489524457","게임물제작업","유통관련업","0","","라이딩머신 시뮬레이터 AR","297.36","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"54","게임물제작업","03_05_02_P","4221000","CDFF2241082007000001","2007-12-10","","04","취소/말소/만료/정지/중지","35","직권말소","2009-05-07","","","","554-0511","","","강원특별자치도 태백시 소도동 ***-*","강원특별자치도 태백시 천제단길 ***  (소도동)","","G 컨퍼런스","2009-06-17 13:14:10","I","2023-06-13 00:00:00","","373495.337373523","403985.151366801","게임물제작업","유통관련업","3","기타","소프트웨어자문, 개발, 공급","197.99","3","0","근린생활시설","0","0","0","0","","","","","","","","","","","","0","","","","","","자연녹지지역",
